'Elapsed time','V1'
'23:40.936',0.115
'23:40.939',0.130
'23:40.942',0.120
'23:40.944',0.120
'23:40.947',0.125
'23:40.950',0.105
'23:40.953',0.095
'23:40.956',0.120
'23:40.958',0.100
'23:40.961',0.100
'23:40.964',0.110
'23:40.967',0.110
'23:40.969',0.125
'23:40.972',0.140
'23:40.975',0.145
'23:40.978',0.150
'23:40.981',0.150
'23:40.983',0.155
'23:40.986',0.160
'23:40.989',0.160
'23:40.992',0.165
'23:40.994',0.165
'23:40.997',0.180
'23:41.000',0.185
'23:41.003',0.190
'23:41.006',0.175
'23:41.008',0.160
'23:41.011',0.160
'23:41.014',0.135
'23:41.017',0.105
'23:41.019',0.090
'23:41.022',0.085
'23:41.025',0.080
'23:41.028',0.070
'23:41.031',0.085
'23:41.033',0.090
'23:41.036',0.100
'23:41.039',0.100
'23:41.042',0.110
'23:41.044',0.095
'23:41.047',0.095
'23:41.050',0.075
'23:41.053',0.070
'23:41.056',0.065
'23:41.058',0.080
'23:41.061',0.085
'23:41.064',0.100
'23:41.067',0.120
'23:41.069',0.120
'23:41.072',0.125
'23:41.075',0.110
'23:41.078',0.100
'23:41.081',0.095
'23:41.083',0.085
'23:41.086',0.085
'23:41.089',0.075
'23:41.092',0.070
'23:41.094',0.075
'23:41.097',0.085
'23:41.100',0.100
'23:41.103',0.115
'23:41.106',0.100
'23:41.108',0.100
'23:41.111',0.105
'23:41.114',0.095
'23:41.117',0.090
'23:41.119',0.085
'23:41.122',0.095
'23:41.125',0.085
'23:41.128',0.090
'23:41.131',0.100
'23:41.133',0.100
'23:41.136',0.125
'23:41.139',0.120
'23:41.142',0.130
'23:41.144',0.120
'23:41.147',0.120
'23:41.150',0.110
'23:41.153',0.120
'23:41.156',0.115
'23:41.158',0.140
'23:41.161',0.165
'23:41.164',0.205
'23:41.167',0.255
'23:41.169',0.265
'23:41.172',0.270
'23:41.175',0.245
'23:41.178',0.205
'23:41.181',0.130
'23:41.183',0.085
'23:41.186',0.015
'23:41.189',-0.045
'23:41.192',-0.070
'23:41.194',-0.075
'23:41.197',-0.060
'23:41.200',-0.050
'23:41.203',-0.020
'23:41.206',-0.015
'23:41.208',-0.005
'23:41.211',0.080
'23:41.214',0.185
'23:41.217',0.340
'23:41.219',0.510
'23:41.222',0.660
'23:41.225',0.765
'23:41.228',0.865
'23:41.231',0.915
'23:41.233',0.945
'23:41.236',0.985
'23:41.239',1.020
'23:41.242',1.020
'23:41.244',1.010
'23:41.247',0.955
'23:41.250',0.885
'23:41.253',0.830
'23:41.256',0.740
'23:41.258',0.635
'23:41.261',0.535
'23:41.264',0.445
'23:41.267',0.360
'23:41.269',0.290
'23:41.272',0.245
'23:41.275',0.215
'23:41.278',0.195
'23:41.281',0.190
'23:41.283',0.170
'23:41.286',0.165
'23:41.289',0.145
'23:41.292',0.140
'23:41.294',0.140
'23:41.297',0.130
'23:41.300',0.125
'23:41.303',0.135
'23:41.306',0.140
'23:41.308',0.135
'23:41.311',0.125
'23:41.314',0.115
'23:41.317',0.105
'23:41.319',0.100
'23:41.322',0.085
'23:41.325',0.080
'23:41.328',0.085
'23:41.331',0.095
'23:41.333',0.095
'23:41.336',0.105
'23:41.339',0.105
'23:41.342',0.090
'23:41.344',0.095
'23:41.347',0.085
'23:41.350',0.085
'23:41.353',0.090
'23:41.356',0.080
'23:41.358',0.080
'23:41.361',0.060
'23:41.364',0.080
'23:41.367',0.085
'23:41.369',0.100
'23:41.372',0.105
'23:41.375',0.090
'23:41.378',0.080
'23:41.381',0.085
'23:41.383',0.070
'23:41.386',0.070
'23:41.389',0.070
'23:41.392',0.065
'23:41.394',0.065
'23:41.397',0.060
'23:41.400',0.075
'23:41.403',0.075
'23:41.406',0.085
'23:41.408',0.075
'23:41.411',0.070
'23:41.414',0.070
'23:41.417',0.050
'23:41.419',0.045
'23:41.422',0.050
'23:41.425',0.050
'23:41.428',0.045
'23:41.431',0.055
'23:41.433',0.055
'23:41.436',0.045
'23:41.439',0.060
'23:41.442',0.060
'23:41.444',0.055
'23:41.447',0.040
'23:41.450',0.030
'23:41.453',0.020
'23:41.456',0.025
'23:41.458',0.025
'23:41.461',0.030
'23:41.464',0.035
'23:41.467',0.030
'23:41.469',0.030
'23:41.472',0.025
'23:41.475',0.025
'23:41.478',0.025
'23:41.481',0.025
'23:41.483',0.015
'23:41.486',0.010
'23:41.489',0.000
'23:41.492',0.010
'23:41.494',0.000
'23:41.497',0.000
'23:41.500',0.005
'23:41.503',0.000
'23:41.506',0.005
'23:41.508',0.005
'23:41.511',0.000
'23:41.514',0.000
'23:41.517',-0.020
'23:41.519',-0.030
'23:41.522',-0.030
'23:41.525',-0.040
'23:41.528',-0.035
'23:41.531',-0.045
'23:41.533',-0.040
'23:41.536',-0.040
'23:41.539',-0.025
'23:41.542',-0.035
'23:41.544',-0.055
'23:41.547',-0.060
'23:41.550',-0.070
'23:41.553',-0.080
'23:41.556',-0.085
'23:41.558',-0.100
'23:41.561',-0.100
'23:41.564',-0.095
'23:41.567',-0.080
'23:41.569',-0.080
'23:41.572',-0.080
'23:41.575',-0.100
'23:41.578',-0.100
'23:41.581',-0.100
'23:41.583',-0.110
'23:41.586',-0.125
'23:41.589',-0.120
'23:41.592',-0.130
'23:41.594',-0.130
'23:41.597',-0.130
'23:41.600',-0.130
'23:41.603',-0.115
'23:41.606',-0.100
'23:41.608',-0.110
'23:41.611',-0.105
'23:41.614',-0.110
'23:41.617',-0.115
'23:41.619',-0.110
'23:41.622',-0.105
'23:41.625',-0.095
'23:41.628',-0.100
'23:41.631',-0.085
'23:41.633',-0.090
'23:41.636',-0.065
'23:41.639',-0.050
'23:41.642',-0.050
'23:41.644',-0.050
'23:41.647',-0.045
'23:41.650',-0.055
'23:41.653',-0.040
'23:41.656',-0.035
'23:41.658',-0.035
'23:41.661',-0.035
'23:41.664',-0.025
'23:41.667',0.000
'23:41.669',0.015
'23:41.672',0.015
'23:41.675',0.035
'23:41.678',0.025
'23:41.681',0.015
'23:41.683',0.025
'23:41.686',0.020
'23:41.689',0.020
'23:41.692',0.045
'23:41.694',0.045
'23:41.697',0.050
'23:41.700',0.055
'23:41.703',0.070
'23:41.706',0.070
'23:41.708',0.080
'23:41.711',0.085
'23:41.714',0.085
'23:41.717',0.085
'23:41.719',0.080
'23:41.722',0.080
'23:41.725',0.075
'23:41.728',0.085
'23:41.731',0.100
'23:41.733',0.110
'23:41.736',0.120
'23:41.739',0.125
'23:41.742',0.130
'23:41.744',0.125
'23:41.747',0.120
'23:41.750',0.110
'23:41.753',0.105
'23:41.756',0.110
'23:41.758',0.115
'23:41.761',0.110
'23:41.764',0.115
'23:41.767',0.130
'23:41.769',0.135
'23:41.772',0.135
'23:41.775',0.135
'23:41.778',0.130
'23:41.781',0.130
'23:41.783',0.125
'23:41.786',0.110
'23:41.789',0.105
'23:41.792',0.110
'23:41.794',0.110
'23:41.797',0.115
'23:41.800',0.135
'23:41.803',0.130
'23:41.806',0.130
'23:41.808',0.130
'23:41.811',0.130
'23:41.814',0.135
'23:41.817',0.130
'23:41.819',0.130
'23:41.822',0.115
'23:41.825',0.115
'23:41.828',0.105
'23:41.831',0.110
'23:41.833',0.120
'23:41.836',0.120
'23:41.839',0.140
'23:41.842',0.145
'23:41.844',0.125
'23:41.847',0.135
'23:41.850',0.125
'23:41.853',0.115
'23:41.856',0.100
'23:41.858',0.115
'23:41.861',0.110
'23:41.864',0.120
'23:41.867',0.130
'23:41.869',0.135
'23:41.872',0.135
'23:41.875',0.140
'23:41.878',0.130
'23:41.881',0.130
'23:41.883',0.110
'23:41.886',0.120
'23:41.889',0.115
'23:41.892',0.100
'23:41.894',0.110
'23:41.897',0.100
'23:41.900',0.110
'23:41.903',0.115
'23:41.906',0.125
'23:41.908',0.120
'23:41.911',0.130
'23:41.914',0.125
'23:41.917',0.110
'23:41.919',0.110
'23:41.922',0.095
'23:41.925',0.105
'23:41.928',0.110
'23:41.931',0.110
'23:41.933',0.120
'23:41.936',0.125
'23:41.939',0.135
'23:41.942',0.140
'23:41.944',0.125
'23:41.947',0.110
'23:41.950',0.120
'23:41.953',0.110
'23:41.956',0.105
'23:41.958',0.115
'23:41.961',0.115
'23:41.964',0.125
'23:41.967',0.125
'23:41.969',0.130
'23:41.972',0.135
'23:41.975',0.135
'23:41.978',0.125
'23:41.981',0.130
'23:41.983',0.125
'23:41.986',0.110
'23:41.989',0.120
'23:41.992',0.120
'23:41.994',0.120
'23:41.997',0.130
'23:42.000',0.135
'23:42.003',0.125
'23:42.006',0.135
'23:42.008',0.135
'23:42.011',0.130
'23:42.014',0.140
'23:42.017',0.135
'23:42.019',0.145
'23:42.022',0.145
'23:42.025',0.145
'23:42.028',0.165
'23:42.031',0.180
'23:42.033',0.180
'23:42.036',0.190
'23:42.039',0.195
'23:42.042',0.205
'23:42.044',0.195
'23:42.047',0.170
'23:42.050',0.150
'23:42.053',0.130
'23:42.056',0.120
'23:42.058',0.105
'23:42.061',0.120
'23:42.064',0.105
'23:42.067',0.100
'23:42.069',0.105
'23:42.072',0.115
'23:42.075',0.130
'23:42.078',0.135
'23:42.081',0.115
'23:42.083',0.105
'23:42.086',0.105
'23:42.089',0.090
'23:42.092',0.095
'23:42.094',0.105
'23:42.097',0.125
'23:42.100',0.140
'23:42.103',0.135
'23:42.106',0.140
'23:42.108',0.130
'23:42.111',0.120
'23:42.114',0.130
'23:42.117',0.100
'23:42.119',0.110
'23:42.122',0.115
'23:42.125',0.105
'23:42.128',0.105
'23:42.131',0.110
'23:42.133',0.120
'23:42.136',0.130
'23:42.139',0.155
'23:42.142',0.150
'23:42.144',0.150
'23:42.147',0.145
'23:42.150',0.135
'23:42.153',0.110
'23:42.156',0.115
'23:42.158',0.120
'23:42.161',0.110
'23:42.164',0.130
'23:42.167',0.130
'23:42.169',0.140
'23:42.172',0.150
'23:42.175',0.165
'23:42.178',0.150
'23:42.181',0.160
'23:42.183',0.150
'23:42.186',0.165
'23:42.189',0.190
'23:42.192',0.215
'23:42.194',0.250
'23:42.197',0.270
'23:42.200',0.275
'23:42.203',0.255
'23:42.206',0.220
'23:42.208',0.145
'23:42.211',0.065
'23:42.214',-0.010
'23:42.217',-0.055
'23:42.219',-0.060
'23:42.222',-0.025
'23:42.225',0.030
'23:42.228',0.075
'23:42.231',0.105
'23:42.233',0.135
'23:42.236',0.175
'23:42.239',0.280
'23:42.242',0.410
'23:42.244',0.555
'23:42.247',0.710
'23:42.250',0.810
'23:42.253',0.900
'23:42.256',0.950
'23:42.258',0.985
'23:42.261',1.000
'23:42.264',1.045
'23:42.267',1.050
'23:42.269',1.040
'23:42.272',0.995
'23:42.275',0.950
'23:42.278',0.870
'23:42.281',0.810
'23:42.283',0.710
'23:42.286',0.615
'23:42.289',0.495
'23:42.292',0.370
'23:42.294',0.280
'23:42.297',0.230
'23:42.300',0.215
'23:42.303',0.200
'23:42.306',0.205
'23:42.308',0.200
'23:42.311',0.185
'23:42.314',0.180
'23:42.317',0.155
'23:42.319',0.135
'23:42.322',0.130
'23:42.325',0.120
'23:42.328',0.125
'23:42.331',0.125
'23:42.333',0.140
'23:42.336',0.145
'23:42.339',0.150
'23:42.342',0.140
'23:42.344',0.135
'23:42.347',0.125
'23:42.350',0.115
'23:42.353',0.120
'23:42.356',0.095
'23:42.358',0.090
'23:42.361',0.095
'23:42.364',0.095
'23:42.367',0.095
'23:42.369',0.125
'23:42.372',0.125
'23:42.375',0.130
'23:42.378',0.120
'23:42.381',0.105
'23:42.383',0.110
'23:42.386',0.095
'23:42.389',0.105
'23:42.392',0.095
'23:42.394',0.080
'23:42.397',0.080
'23:42.400',0.095
'23:42.403',0.100
'23:42.406',0.105
'23:42.408',0.105
'23:42.411',0.105
'23:42.414',0.090
'23:42.417',0.095
'23:42.419',0.095
'23:42.422',0.085
'23:42.425',0.085
'23:42.428',0.070
'23:42.431',0.065
'23:42.433',0.070
'23:42.436',0.085
'23:42.439',0.080
'23:42.442',0.080
'23:42.444',0.080
'23:42.447',0.075
'23:42.450',0.070
'23:42.453',0.060
'23:42.456',0.060
'23:42.458',0.055
'23:42.461',0.050
'23:42.464',0.055
'23:42.467',0.070
'23:42.469',0.065
'23:42.472',0.085
'23:42.475',0.085
'23:42.478',0.060
'23:42.481',0.060
'23:42.483',0.030
'23:42.486',0.045
'23:42.489',0.035
'23:42.492',0.040
'23:42.494',0.020
'23:42.497',0.030
'23:42.500',0.030
'23:42.503',0.030
'23:42.506',0.045
'23:42.508',0.035
'23:42.511',0.040
'23:42.514',0.025
'23:42.517',0.025
'23:42.519',0.000
'23:42.522',-0.010
'23:42.525',-0.005
'23:42.528',0.000
'23:42.531',-0.005
'23:42.533',-0.005
'23:42.536',0.000
'23:42.539',0.010
'23:42.542',0.000
'23:42.544',-0.015
'23:42.547',-0.015
'23:42.550',-0.025
'23:42.553',-0.045
'23:42.556',-0.060
'23:42.558',-0.065
'23:42.561',-0.075
'23:42.564',-0.070
'23:42.567',-0.070
'23:42.569',-0.070
'23:42.572',-0.060
'23:42.575',-0.075
'23:42.578',-0.060
'23:42.581',-0.075
'23:42.583',-0.080
'23:42.586',-0.105
'23:42.589',-0.100
'23:42.592',-0.100
'23:42.594',-0.110
'23:42.597',-0.105
'23:42.600',-0.100
'23:42.603',-0.095
'23:42.606',-0.080
'23:42.608',-0.080
'23:42.611',-0.085
'23:42.614',-0.090
'23:42.617',-0.090
'23:42.619',-0.095
'23:42.622',-0.085
'23:42.625',-0.080
'23:42.628',-0.075
'23:42.631',-0.045
'23:42.633',-0.045
'23:42.636',-0.035
'23:42.639',-0.020
'23:42.642',-0.010
'23:42.644',-0.005
'23:42.647',-0.005
'23:42.650',-0.015
'23:42.653',-0.005
'23:42.656',-0.005
'23:42.658',0.005
'23:42.661',0.005
'23:42.664',0.025
'23:42.667',0.035
'23:42.669',0.040
'23:42.672',0.050
'23:42.675',0.060
'23:42.678',0.075
'23:42.681',0.075
'23:42.683',0.075
'23:42.686',0.085
'23:42.689',0.075
'23:42.692',0.085
'23:42.694',0.100
'23:42.697',0.115
'23:42.700',0.125
'23:42.703',0.140
'23:42.706',0.150
'23:42.708',0.160
'23:42.711',0.155
'23:42.714',0.165
'23:42.717',0.155
'23:42.719',0.155
'23:42.722',0.155
'23:42.725',0.150
'23:42.728',0.160
'23:42.731',0.165
'23:42.733',0.175
'23:42.736',0.175
'23:42.739',0.185
'23:42.742',0.185
'23:42.744',0.185
'23:42.747',0.180
'23:42.750',0.170
'23:42.753',0.180
'23:42.756',0.170
'23:42.758',0.170
'23:42.761',0.160
'23:42.764',0.170
'23:42.767',0.170
'23:42.769',0.180
'23:42.772',0.195
'23:42.775',0.195
'23:42.778',0.185
'23:42.781',0.195
'23:42.783',0.170
'23:42.786',0.170
'23:42.789',0.170
'23:42.792',0.175
'23:42.794',0.170
'23:42.797',0.170
'23:42.800',0.175
'23:42.803',0.185
'23:42.806',0.195
'23:42.808',0.190
'23:42.811',0.190
'23:42.814',0.180
'23:42.817',0.170
'23:42.819',0.175
'23:42.822',0.160
'23:42.825',0.155
'23:42.828',0.175
'23:42.831',0.160
'23:42.833',0.185
'23:42.836',0.185
'23:42.839',0.200
'23:42.842',0.190
'23:42.844',0.195
'23:42.847',0.190
'23:42.850',0.180
'23:42.853',0.170
'23:42.856',0.165
'23:42.858',0.165
'23:42.861',0.160
'23:42.864',0.170
'23:42.867',0.170
'23:42.869',0.195
'23:42.872',0.195
'23:42.875',0.190
'23:42.878',0.195
'23:42.881',0.185
'23:42.883',0.180
'23:42.886',0.175
'23:42.889',0.170
'23:42.892',0.155
'23:42.894',0.155
'23:42.897',0.165
'23:42.900',0.165
'23:42.903',0.170
'23:42.906',0.190
'23:42.908',0.175
'23:42.911',0.175
'23:42.914',0.170
'23:42.917',0.160
'23:42.919',0.155
'23:42.922',0.150
'23:42.925',0.150
'23:42.928',0.150
'23:42.931',0.160
'23:42.933',0.170
'23:42.936',0.185
'23:42.939',0.170
'23:42.942',0.185
'23:42.944',0.185
'23:42.947',0.175
'23:42.950',0.175
'23:42.953',0.165
'23:42.956',0.175
'23:42.958',0.170
'23:42.961',0.185
'23:42.964',0.190
'23:42.967',0.210
'23:42.969',0.200
'23:42.972',0.220
'23:42.975',0.220
'23:42.978',0.205
'23:42.981',0.200
'23:42.983',0.180
'23:42.986',0.160
'23:42.989',0.155
'23:42.992',0.135
'23:42.994',0.135
'23:42.997',0.125
'23:43.000',0.125
'23:43.003',0.130
'23:43.006',0.135
'23:43.008',0.140
'23:43.011',0.135
'23:43.014',0.135
'23:43.017',0.125
'23:43.019',0.120
'23:43.022',0.120
'23:43.025',0.125
'23:43.028',0.130
'23:43.031',0.135
'23:43.033',0.160
'23:43.036',0.155
'23:43.039',0.170
'23:43.042',0.160
'23:43.044',0.150
'23:43.047',0.150
'23:43.050',0.140
'23:43.053',0.125
'23:43.056',0.125
'23:43.058',0.125
'23:43.061',0.135
'23:43.064',0.130
'23:43.067',0.140
'23:43.069',0.135
'23:43.072',0.150
'23:43.075',0.150
'23:43.078',0.150
'23:43.081',0.145
'23:43.083',0.140
'23:43.086',0.125
'23:43.089',0.120
'23:43.092',0.115
'23:43.094',0.130
'23:43.097',0.130
'23:43.100',0.135
'23:43.103',0.140
'23:43.106',0.145
'23:43.108',0.150
'23:43.111',0.150
'23:43.114',0.150
'23:43.117',0.145
'23:43.119',0.140
'23:43.122',0.130
'23:43.125',0.145
'23:43.128',0.145
'23:43.131',0.165
'23:43.133',0.200
'23:43.136',0.230
'23:43.139',0.270
'23:43.142',0.295
'23:43.144',0.300
'23:43.147',0.280
'23:43.150',0.250
'23:43.153',0.195
'23:43.156',0.135
'23:43.158',0.070
'23:43.161',0.010
'23:43.164',-0.035
'23:43.167',-0.050
'23:43.169',-0.035
'23:43.172',-0.010
'23:43.175',0.020
'23:43.178',0.035
'23:43.181',0.040
'23:43.183',0.060
'23:43.186',0.100
'23:43.189',0.200
'23:43.192',0.340
'23:43.194',0.505
'23:43.197',0.650
'23:43.200',0.770
'23:43.203',0.860
'23:43.206',0.920
'23:43.208',0.960
'23:43.211',1.005
'23:43.214',1.030
'23:43.217',1.040
'23:43.219',1.040
'23:43.222',1.015
'23:43.225',0.960
'23:43.228',0.895
'23:43.231',0.815
'23:43.233',0.745
'23:43.236',0.660
'23:43.239',0.560
'23:43.242',0.475
'23:43.244',0.375
'23:43.247',0.285
'23:43.250',0.235
'23:43.253',0.195
'23:43.256',0.170
'23:43.258',0.160
'23:43.261',0.155
'23:43.264',0.150
'23:43.267',0.145
'23:43.269',0.150
'23:43.272',0.140
'23:43.275',0.120
'23:43.278',0.125
'23:43.281',0.110
'23:43.283',0.105
'23:43.286',0.100
'23:43.289',0.090
'23:43.292',0.080
'23:43.294',0.065
'23:43.297',0.075
'23:43.300',0.085
'23:43.303',0.085
'23:43.306',0.095
'23:43.308',0.095
'23:43.311',0.085
'23:43.314',0.100
'23:43.317',0.090
'23:43.319',0.065
'23:43.322',0.065
'23:43.325',0.070
'23:43.328',0.070
'23:43.331',0.075
'23:43.333',0.075
'23:43.336',0.070
'23:43.339',0.080
'23:43.342',0.065
'23:43.344',0.085
'23:43.347',0.075
'23:43.350',0.060
'23:43.353',0.045
'23:43.356',0.050
'23:43.358',0.045
'23:43.361',0.045
'23:43.364',0.055
'23:43.367',0.055
'23:43.369',0.060
'23:43.372',0.055
'23:43.375',0.065
'23:43.378',0.050
'23:43.381',0.060
'23:43.383',0.040
'23:43.386',0.040
'23:43.389',0.035
'23:43.392',0.020
'23:43.394',0.030
'23:43.397',0.040
'23:43.400',0.040
'23:43.403',0.055
'23:43.406',0.050
'23:43.408',0.060
'23:43.411',0.045
'23:43.414',0.035
'23:43.417',0.020
'23:43.419',0.010
'23:43.422',0.015
'23:43.425',0.000
'23:43.428',0.005
'23:43.431',0.010
'23:43.433',0.015
'23:43.436',0.015
'23:43.439',0.015
'23:43.442',0.015
'23:43.444',0.015
'23:43.447',0.010
'23:43.450',-0.015
'23:43.453',-0.015
'23:43.456',-0.015
'23:43.458',-0.025
'23:43.461',-0.020
'23:43.464',-0.015
'23:43.467',-0.015
'23:43.469',-0.010
'23:43.472',-0.010
