'Elapsed time','V1'
'17:40.322',0.295
'17:40.325',0.280
'17:40.328',0.265
'17:40.331',0.260
'17:40.333',0.235
'17:40.336',0.200
'17:40.339',0.185
'17:40.342',0.175
'17:40.344',0.170
'17:40.347',0.180
'17:40.350',0.165
'17:40.353',0.140
'17:40.356',0.120
'17:40.358',0.110
'17:40.361',0.125
'17:40.364',0.125
'17:40.367',0.130
'17:40.369',0.120
'17:40.372',0.100
'17:40.375',0.100
'17:40.378',0.120
'17:40.381',0.135
'17:40.383',0.140
'17:40.386',0.110
'17:40.389',0.115
'17:40.392',0.105
'17:40.394',0.115
'17:40.397',0.135
'17:40.400',0.130
'17:40.403',0.120
'17:40.406',0.105
'17:40.408',0.105
'17:40.411',0.120
'17:40.414',0.135
'17:40.417',0.135
'17:40.419',0.115
'17:40.422',0.095
'17:40.425',0.115
'17:40.428',0.125
'17:40.431',0.135
'17:40.433',0.115
'17:40.436',0.105
'17:40.439',0.100
'17:40.442',0.100
'17:40.444',0.115
'17:40.447',0.125
'17:40.450',0.125
'17:40.453',0.120
'17:40.456',0.105
'17:40.458',0.115
'17:40.461',0.130
'17:40.464',0.140
'17:40.467',0.150
'17:40.469',0.130
'17:40.472',0.120
'17:40.475',0.105
'17:40.478',0.110
'17:40.481',0.105
'17:40.483',0.095
'17:40.486',0.065
'17:40.489',0.025
'17:40.492',0.000
'17:40.494',-0.010
'17:40.497',-0.035
'17:40.500',-0.070
'17:40.503',-0.115
'17:40.506',-0.165
'17:40.508',-0.210
'17:40.511',-0.245
'17:40.514',-0.305
'17:40.517',-0.375
'17:40.519',-0.460
'17:40.522',-0.535
'17:40.525',-0.580
'17:40.528',-0.630
'17:40.531',-0.655
'17:40.533',-0.695
'17:40.536',-0.740
'17:40.539',-0.790
'17:40.542',-0.840
'17:40.544',-0.870
'17:40.547',-0.885
'17:40.550',-0.900
'17:40.553',-0.915
'17:40.556',-0.910
'17:40.558',-0.910
'17:40.561',-0.890
'17:40.564',-0.855
'17:40.567',-0.825
'17:40.569',-0.795
'17:40.572',-0.755
'17:40.575',-0.710
'17:40.578',-0.650
'17:40.581',-0.585
'17:40.583',-0.520
'17:40.586',-0.485
'17:40.589',-0.465
'17:40.592',-0.435
'17:40.594',-0.415
'17:40.597',-0.385
'17:40.600',-0.375
'17:40.603',-0.375
'17:40.606',-0.375
'17:40.608',-0.360
'17:40.611',-0.335
'17:40.614',-0.305
'17:40.617',-0.300
'17:40.619',-0.280
'17:40.622',-0.260
'17:40.625',-0.205
'17:40.628',-0.110
'17:40.631',-0.010
'17:40.633',0.080
'17:40.636',0.135
'17:40.639',0.180
'17:40.642',0.210
'17:40.644',0.240
'17:40.647',0.270
'17:40.650',0.270
'17:40.653',0.265
'17:40.656',0.260
'17:40.658',0.255
'17:40.661',0.245
'17:40.664',0.265
'17:40.667',0.255
'17:40.669',0.250
'17:40.672',0.230
'17:40.675',0.245
'17:40.678',0.270
'17:40.681',0.305
'17:40.683',0.310
'17:40.686',0.295
'17:40.689',0.295
'17:40.692',0.300
'17:40.694',0.320
'17:40.697',0.345
'17:40.700',0.345
'17:40.703',0.340
'17:40.706',0.345
'17:40.708',0.350
'17:40.711',0.360
'17:40.714',0.395
'17:40.717',0.410
'17:40.719',0.400
'17:40.722',0.390
'17:40.725',0.400
'17:40.728',0.405
'17:40.731',0.420
'17:40.733',0.430
'17:40.736',0.435
'17:40.739',0.420
'17:40.742',0.435
'17:40.744',0.445
'17:40.747',0.470
'17:40.750',0.470
'17:40.753',0.460
'17:40.756',0.455
'17:40.758',0.455
'17:40.761',0.470
'17:40.764',0.480
'17:40.767',0.495
'17:40.769',0.480
'17:40.772',0.475
'17:40.775',0.480
'17:40.778',0.480
'17:40.781',0.490
'17:40.783',0.470
'17:40.786',0.455
'17:40.789',0.450
'17:40.792',0.440
'17:40.794',0.455
'17:40.797',0.450
'17:40.800',0.440
'17:40.803',0.420
'17:40.806',0.385
'17:40.808',0.380
'17:40.811',0.375
'17:40.814',0.370
'17:40.817',0.350
'17:40.819',0.330
'17:40.822',0.300
'17:40.825',0.285
'17:40.828',0.280
'17:40.831',0.275
'17:40.833',0.265
'17:40.836',0.240
'17:40.839',0.210
'17:40.842',0.210
'17:40.844',0.195
'17:40.847',0.210
'17:40.850',0.190
'17:40.853',0.190
'17:40.856',0.170
'17:40.858',0.160
'17:40.861',0.165
'17:40.864',0.165
'17:40.867',0.160
'17:40.869',0.160
'17:40.872',0.140
'17:40.875',0.145
'17:40.878',0.155
'17:40.881',0.170
'17:40.883',0.155
'17:40.886',0.155
'17:40.889',0.125
'17:40.892',0.140
'17:40.894',0.165
'17:40.897',0.190
'17:40.900',0.185
'17:40.903',0.175
'17:40.906',0.150
'17:40.908',0.145
'17:40.911',0.160
'17:40.914',0.175
'17:40.917',0.175
'17:40.919',0.175
'17:40.922',0.165
'17:40.925',0.150
'17:40.928',0.150
'17:40.931',0.155
'17:40.933',0.145
'17:40.936',0.145
'17:40.939',0.150
'17:40.942',0.160
'17:40.944',0.175
'17:40.947',0.170
'17:40.950',0.160
'17:40.953',0.145
'17:40.956',0.130
'17:40.958',0.120
'17:40.961',0.145
'17:40.964',0.155
'17:40.967',0.150
'17:40.969',0.135
'17:40.972',0.120
'17:40.975',0.125
'17:40.978',0.140
'17:40.981',0.155
'17:40.983',0.155
'17:40.986',0.160
'17:40.989',0.130
'17:40.992',0.115
'17:40.994',0.125
'17:40.997',0.135
'17:41.000',0.140
'17:41.003',0.135
'17:41.006',0.140
'17:41.008',0.130
'17:41.011',0.145
'17:41.014',0.145
'17:41.017',0.135
'17:41.019',0.105
'17:41.022',0.085
'17:41.025',0.075
'17:41.028',0.105
'17:41.031',0.130
'17:41.033',0.140
'17:41.036',0.130
'17:41.039',0.130
'17:41.042',0.120
'17:41.044',0.115
'17:41.047',0.120
'17:41.050',0.130
'17:41.053',0.110
'17:41.056',0.100
'17:41.058',0.100
'17:41.061',0.110
'17:41.064',0.110
'17:41.067',0.115
'17:41.069',0.090
'17:41.072',0.080
'17:41.075',0.075
'17:41.078',0.090
'17:41.081',0.115
'17:41.083',0.130
'17:41.086',0.105
'17:41.089',0.080
'17:41.092',0.075
'17:41.094',0.080
'17:41.097',0.095
'17:41.100',0.095
'17:41.103',0.095
'17:41.106',0.080
'17:41.108',0.090
'17:41.111',0.095
'17:41.114',0.100
'17:41.117',0.095
'17:41.119',0.085
'17:41.122',0.075
'17:41.125',0.090
'17:41.128',0.090
'17:41.131',0.100
'17:41.133',0.105
'17:41.136',0.085
'17:41.139',0.080
'17:41.142',0.075
'17:41.144',0.085
'17:41.147',0.100
'17:41.150',0.095
'17:41.153',0.080
'17:41.156',0.060
'17:41.158',0.075
'17:41.161',0.090
'17:41.164',0.110
'17:41.167',0.090
'17:41.169',0.075
'17:41.172',0.055
'17:41.175',0.055
'17:41.178',0.070
'17:41.181',0.095
'17:41.183',0.100
'17:41.186',0.085
'17:41.189',0.080
'17:41.192',0.070
'17:41.194',0.070
'17:41.197',0.065
'17:41.200',0.075
'17:41.203',0.085
'17:41.206',0.080
'17:41.208',0.075
'17:41.211',0.075
'17:41.214',0.075
'17:41.217',0.070
'17:41.219',0.060
'17:41.222',0.050
'17:41.225',0.055
'17:41.228',0.080
'17:41.231',0.100
'17:41.233',0.105
'17:41.236',0.100
'17:41.239',0.075
'17:41.242',0.055
'17:41.244',0.060
'17:41.247',0.060
'17:41.250',0.065
'17:41.253',0.070
'17:41.256',0.065
'17:41.258',0.065
'17:41.261',0.065
'17:41.264',0.080
'17:41.267',0.080
'17:41.269',0.070
'17:41.272',0.055
'17:41.275',0.045
'17:41.278',0.055
'17:41.281',0.065
'17:41.283',0.075
'17:41.286',0.060
'17:41.289',0.050
'17:41.292',0.060
'17:41.294',0.070
'17:41.297',0.085
'17:41.300',0.080
'17:41.303',0.070
'17:41.306',0.050
'17:41.308',0.060
'17:41.311',0.055
'17:41.314',0.080
'17:41.317',0.055
'17:41.319',0.035
'17:41.322',0.045
'17:41.325',0.045
'17:41.328',0.050
'17:41.331',0.065
'17:41.333',0.065
'17:41.336',0.080
'17:41.339',0.055
'17:41.342',0.050
'17:41.344',0.050
'17:41.347',0.070
'17:41.350',0.065
'17:41.353',0.065
'17:41.356',0.040
'17:41.358',0.065
'17:41.361',0.065
'17:41.364',0.080
'17:41.367',0.090
'17:41.369',0.070
'17:41.372',0.060
'17:41.375',0.040
'17:41.378',0.065
'17:41.381',0.075
'17:41.383',0.085
'17:41.386',0.080
'17:41.389',0.040
'17:41.392',0.045
'17:41.394',0.050
'17:41.397',0.060
'17:41.400',0.065
'17:41.403',0.065
'17:41.406',0.035
'17:41.408',0.035
'17:41.411',0.060
'17:41.414',0.065
'17:41.417',0.075
'17:41.419',0.075
'17:41.422',0.060
'17:41.425',0.060
'17:41.428',0.075
'17:41.431',0.095
'17:41.433',0.080
'17:41.436',0.060
'17:41.439',0.055
'17:41.442',0.055
'17:41.444',0.060
'17:41.447',0.045
'17:41.450',0.020
'17:41.453',-0.020
'17:41.456',-0.045
'17:41.458',-0.050
'17:41.461',-0.030
'17:41.464',-0.015
'17:41.467',-0.015
'17:41.469',-0.020
'17:41.472',-0.030
'17:41.475',-0.040
'17:41.478',-0.025
'17:41.481',-0.005
'17:41.483',0.000
'17:41.486',-0.020
'17:41.489',-0.020
'17:41.492',-0.015
'17:41.494',0.005
'17:41.497',0.025
'17:41.500',0.020
'17:41.503',0.010
'17:41.506',0.000
'17:41.508',-0.005
'17:41.511',0.015
'17:41.514',0.035
'17:41.517',0.030
'17:41.519',0.020
'17:41.522',0.000
'17:41.525',0.005
'17:41.528',0.015
'17:41.531',0.040
'17:41.533',0.035
'17:41.536',0.010
'17:41.539',0.000
'17:41.542',-0.010
'17:41.544',-0.005
'17:41.547',0.015
'17:41.550',0.015
'17:41.553',0.005
'17:41.556',-0.005
'17:41.558',-0.010
'17:41.561',-0.025
'17:41.564',-0.020
'17:41.567',-0.010
'17:41.569',-0.040
'17:41.572',-0.080
'17:41.575',-0.150
'17:41.578',-0.230
'17:41.581',-0.275
'17:41.583',-0.320
'17:41.586',-0.360
'17:41.589',-0.365
'17:41.592',-0.370
'17:41.594',-0.330
'17:41.597',-0.235
'17:41.600',-0.125
'17:41.603',-0.025
'17:41.606',0.055
'17:41.608',0.075
'17:41.611',0.060
'17:41.614',0.035
'17:41.617',0.000
'17:41.619',-0.010
'17:41.622',-0.025
'17:41.625',0.000
'17:41.628',0.020
'17:41.631',0.045
'17:41.633',0.040
'17:41.636',0.045
'17:41.639',0.025
'17:41.642',0.025
'17:41.644',0.040
'17:41.647',0.055
'17:41.650',0.050
'17:41.653',0.035
'17:41.656',0.030
'17:41.658',0.025
'17:41.661',0.035
'17:41.664',0.040
'17:41.667',0.050
'17:41.669',0.035
'17:41.672',0.025
'17:41.675',0.025
'17:41.678',0.030
'17:41.681',0.035
'17:41.683',0.030
'17:41.686',0.030
'17:41.689',0.015
'17:41.692',0.015
'17:41.694',0.015
'17:41.697',0.025
'17:41.700',0.025
'17:41.703',0.010
'17:41.706',0.000
'17:41.708',-0.005
'17:41.711',0.010
'17:41.714',0.020
'17:41.717',0.035
'17:41.719',0.010
'17:41.722',-0.010
'17:41.725',-0.025
'17:41.728',-0.020
'17:41.731',-0.015
'17:41.733',-0.015
'17:41.736',-0.025
'17:41.739',-0.030
'17:41.742',-0.035
'17:41.744',-0.030
'17:41.747',-0.020
'17:41.750',-0.030
'17:41.753',-0.035
'17:41.756',-0.070
'17:41.758',-0.070
'17:41.761',-0.075
'17:41.764',-0.065
'17:41.767',-0.070
'17:41.769',-0.090
'17:41.772',-0.095
'17:41.775',-0.105
'17:41.778',-0.110
'17:41.781',-0.120
'17:41.783',-0.120
'17:41.786',-0.125
'17:41.789',-0.145
'17:41.792',-0.160
'17:41.794',-0.155
'17:41.797',-0.150
'17:41.800',-0.160
'17:41.803',-0.185
'17:41.806',-0.205
'17:41.808',-0.225
'17:41.811',-0.225
'17:41.814',-0.220
'17:41.817',-0.235
'17:41.819',-0.255
'17:41.822',-0.250
'17:41.825',-0.260
'17:41.828',-0.260
'17:41.831',-0.245
'17:41.833',-0.255
'17:41.836',-0.270
'17:41.839',-0.280
'17:41.842',-0.265
'17:41.844',-0.265
'17:41.847',-0.240
'17:41.850',-0.260
'17:41.853',-0.245
'17:41.856',-0.245
'17:41.858',-0.255
'17:41.861',-0.225
'17:41.864',-0.200
'17:41.867',-0.190
'17:41.869',-0.160
'17:41.872',-0.165
'17:41.875',-0.155
'17:41.878',-0.130
'17:41.881',-0.105
'17:41.883',-0.080
'17:41.886',-0.075
'17:41.889',-0.075
'17:41.892',-0.070
'17:41.894',-0.035
'17:41.897',-0.015
'17:41.900',0.000
'17:41.903',0.005
'17:41.906',0.010
'17:41.908',0.005
'17:41.911',0.020
'17:41.914',0.045
'17:41.917',0.055
'17:41.919',0.035
'17:41.922',0.025
'17:41.925',0.030
'17:41.928',0.050
'17:41.931',0.070
'17:41.933',0.080
'17:41.936',0.070
'17:41.939',0.065
'17:41.942',0.055
'17:41.944',0.070
'17:41.947',0.060
'17:41.950',0.060
'17:41.953',0.035
'17:41.956',0.045
'17:41.958',0.050
'17:41.961',0.050
'17:41.964',0.060
'17:41.967',0.055
'17:41.969',0.055
'17:41.972',0.050
'17:41.975',0.040
'17:41.978',0.040
'17:41.981',0.075
'17:41.983',0.060
'17:41.986',0.055
'17:41.989',0.045
'17:41.992',0.040
'17:41.994',0.055
'17:41.997',0.050
'17:42.000',0.065
'17:42.003',0.055
'17:42.006',0.030
'17:42.008',0.020
'17:42.011',0.020
'17:42.014',0.040
'17:42.017',0.040
'17:42.019',0.030
'17:42.022',0.030
'17:42.025',0.025
'17:42.028',0.045
'17:42.031',0.060
'17:42.033',0.055
'17:42.036',0.035
'17:42.039',0.030
'17:42.042',0.030
'17:42.044',0.025
'17:42.047',0.055
'17:42.050',0.055
'17:42.053',0.060
'17:42.056',0.065
'17:42.058',0.050
'17:42.061',0.055
'17:42.064',0.060
'17:42.067',0.050
'17:42.069',0.045
'17:42.072',0.035
'17:42.075',0.030
'17:42.078',0.030
'17:42.081',0.025
'17:42.083',-0.015
'17:42.086',-0.100
'17:42.089',-0.185
'17:42.092',-0.235
'17:42.094',-0.295
'17:42.097',-0.320
'17:42.100',-0.390
'17:42.103',-0.490
'17:42.106',-0.590
'17:42.108',-0.680
'17:42.111',-0.730
'17:42.114',-0.775
'17:42.117',-0.805
'17:42.119',-0.835
'17:42.122',-0.865
'17:42.125',-0.890
'17:42.128',-0.900
'17:42.131',-0.910
'17:42.133',-0.945
'17:42.136',-1.000
'17:42.139',-1.070
'17:42.142',-1.090
'17:42.144',-1.065
'17:42.147',-1.010
'17:42.150',-0.975
'17:42.153',-0.915
'17:42.156',-0.855
'17:42.158',-0.785
'17:42.161',-0.705
'17:42.164',-0.620
'17:42.167',-0.530
'17:42.169',-0.450
'17:42.172',-0.410
'17:42.175',-0.365
'17:42.178',-0.335
'17:42.181',-0.300
'17:42.183',-0.290
'17:42.186',-0.285
'17:42.189',-0.300
'17:42.192',-0.305
'17:42.194',-0.305
'17:42.197',-0.295
'17:42.200',-0.265
'17:42.203',-0.240
'17:42.206',-0.200
'17:42.208',-0.120
'17:42.211',-0.030
'17:42.214',0.080
'17:42.217',0.120
'17:42.219',0.180
'17:42.222',0.195
'17:42.225',0.215
'17:42.228',0.235
'17:42.231',0.260
'17:42.233',0.270
'17:42.236',0.280
'17:42.239',0.290
'17:42.242',0.305
'17:42.244',0.315
'17:42.247',0.345
'17:42.250',0.330
'17:42.253',0.335
'17:42.256',0.325
'17:42.258',0.335
'17:42.261',0.355
'17:42.264',0.375
'17:42.267',0.390
'17:42.269',0.380
'17:42.272',0.375
'17:42.275',0.385
'17:42.278',0.405
'17:42.281',0.420
'17:42.283',0.445
'17:42.286',0.450
'17:42.289',0.450
'17:42.292',0.460
'17:42.294',0.465
'17:42.297',0.490
'17:42.300',0.505
'17:42.303',0.515
'17:42.306',0.510
'17:42.308',0.510
'17:42.311',0.525
'17:42.314',0.540
'17:42.317',0.555
'17:42.319',0.550
'17:42.322',0.545
'17:42.325',0.530
'17:42.328',0.520
'17:42.331',0.545
'17:42.333',0.555
'17:42.336',0.550
'17:42.339',0.540
'17:42.342',0.505
'17:42.344',0.500
'17:42.347',0.505
'17:42.350',0.495
'17:42.353',0.495
'17:42.356',0.465
'17:42.358',0.455
'17:42.361',0.450
'17:42.364',0.440
'17:42.367',0.430
'17:42.369',0.390
'17:42.372',0.370
'17:42.375',0.325
'17:42.378',0.310
'17:42.381',0.285
'17:42.383',0.250
'17:42.386',0.215
'17:42.389',0.190
'17:42.392',0.180
'17:42.394',0.180
'17:42.397',0.180
'17:42.400',0.165
'17:42.403',0.155
'17:42.406',0.130
'17:42.408',0.100
'17:42.411',0.100
'17:42.414',0.115
'17:42.417',0.105
'17:42.419',0.090
'17:42.422',0.070
'17:42.425',0.075
'17:42.428',0.070
'17:42.431',0.090
'17:42.433',0.085
'17:42.436',0.095
'17:42.439',0.085
'17:42.442',0.060
'17:42.444',0.090
'17:42.447',0.105
'17:42.450',0.125
'17:42.453',0.110
'17:42.456',0.080
'17:42.458',0.065
'17:42.461',0.080
'17:42.464',0.105
'17:42.467',0.105
'17:42.469',0.105
'17:42.472',0.085
'17:42.475',0.085
'17:42.478',0.090
'17:42.481',0.115
'17:42.483',0.130
'17:42.486',0.120
'17:42.489',0.120
'17:42.492',0.110
'17:42.494',0.115
'17:42.497',0.115
'17:42.500',0.105
'17:42.503',0.100
'17:42.506',0.080
'17:42.508',0.085
'17:42.511',0.110
'17:42.514',0.130
'17:42.517',0.135
'17:42.519',0.110
'17:42.522',0.090
'17:42.525',0.075
'17:42.528',0.100
'17:42.531',0.125
'17:42.533',0.115
'17:42.536',0.110
'17:42.539',0.105
'17:42.542',0.105
'17:42.544',0.105
'17:42.547',0.120
'17:42.550',0.105
'17:42.553',0.110
'17:42.556',0.085
'17:42.558',0.095
'17:42.561',0.100
'17:42.564',0.120
'17:42.567',0.115
'17:42.569',0.110
'17:42.572',0.105
'17:42.575',0.100
'17:42.578',0.110
'17:42.581',0.130
'17:42.583',0.125
'17:42.586',0.085
'17:42.589',0.075
'17:42.592',0.085
'17:42.594',0.105
'17:42.597',0.120
'17:42.600',0.120
'17:42.603',0.105
'17:42.606',0.085
'17:42.608',0.090
'17:42.611',0.095
'17:42.614',0.115
'17:42.617',0.110
'17:42.619',0.105
'17:42.622',0.110
'17:42.625',0.095
'17:42.628',0.100
'17:42.631',0.100
'17:42.633',0.090
'17:42.636',0.080
'17:42.639',0.065
'17:42.642',0.060
'17:42.644',0.070
'17:42.647',0.080
'17:42.650',0.090
'17:42.653',0.085
'17:42.656',0.065
'17:42.658',0.070
'17:42.661',0.080
'17:42.664',0.110
'17:42.667',0.110
'17:42.669',0.100
'17:42.672',0.070
'17:42.675',0.055
'17:42.678',0.065
'17:42.681',0.085
'17:42.683',0.115
'17:42.686',0.105
'17:42.689',0.075
'17:42.692',0.060
'17:42.694',0.070
'17:42.697',0.090
'17:42.700',0.085
'17:42.703',0.060
'17:42.706',0.050
'17:42.708',0.020
'17:42.711',0.025
'17:42.714',0.030
'17:42.717',0.025
'17:42.719',0.020
'17:42.722',0.005
'17:42.725',-0.010
'17:42.728',0.000
'17:42.731',0.025
'17:42.733',0.015
'17:42.736',0.005
'17:42.739',-0.005
'17:42.742',-0.005
'17:42.744',0.025
'17:42.747',0.050
'17:42.750',0.075
'17:42.753',0.060
'17:42.756',0.045
'17:42.758',0.030
'17:42.761',0.050
'17:42.764',0.075
'17:42.767',0.070
'17:42.769',0.070
'17:42.772',0.045
'17:42.775',0.035
'17:42.778',0.045
'17:42.781',0.050
'17:42.783',0.040
'17:42.786',0.040
'17:42.789',0.045
'17:42.792',0.050
'17:42.794',0.065
'17:42.797',0.070
'17:42.800',0.065
'17:42.803',0.060
'17:42.806',0.045
'17:42.808',0.040
'17:42.811',0.030
'17:42.814',0.045
'17:42.817',0.060
'17:42.819',0.040
'17:42.822',0.025
'17:42.825',0.005
'17:42.828',0.005
'17:42.831',0.000
'17:42.833',-0.045
'17:42.836',-0.135
'17:42.839',-0.250
'17:42.842',-0.325
'17:42.844',-0.330
'17:42.847',-0.325
'17:42.850',-0.325
'17:42.853',-0.320
'17:42.856',-0.250
'17:42.858',-0.130
'17:42.861',-0.030
'17:42.864',0.050
'17:42.867',0.055
'17:42.869',0.025
'17:42.872',-0.015
'17:42.875',-0.015
'17:42.878',0.020
'17:42.881',0.070
'17:42.883',0.075
'17:42.886',0.065
'17:42.889',0.055
'17:42.892',0.060
'17:42.894',0.075
'17:42.897',0.090
'17:42.900',0.075
'17:42.903',0.065
'17:42.906',0.050
'17:42.908',0.045
'17:42.911',0.085
'17:42.914',0.070
'17:42.917',0.080
'17:42.919',0.060
'17:42.922',0.040
'17:42.925',0.050
'17:42.928',0.060
'17:42.931',0.070
'17:42.933',0.070
'17:42.936',0.060
'17:42.939',0.040
'17:42.942',0.020
'17:42.944',0.050
'17:42.947',0.065
'17:42.950',0.075
'17:42.953',0.055
'17:42.956',0.040
'17:42.958',0.025
'17:42.961',0.030
'17:42.964',0.040
'17:42.967',0.045
'17:42.969',0.045
'17:42.972',0.030
'17:42.975',0.025
'17:42.978',0.025
'17:42.981',0.025
'17:42.983',-0.005
'17:42.986',-0.030
'17:42.989',-0.020
'17:42.992',-0.005
'17:42.994',0.000
'17:42.997',0.005
'17:43.000',-0.015
'17:43.003',-0.030
'17:43.006',-0.035
'17:43.008',-0.035
'17:43.011',-0.045
'17:43.014',-0.045
'17:43.017',-0.055
'17:43.019',-0.075
'17:43.022',-0.085
'17:43.025',-0.105
'17:43.028',-0.130
'17:43.031',-0.140
'17:43.033',-0.145
'17:43.036',-0.160
'17:43.039',-0.165
'17:43.042',-0.190
'17:43.044',-0.190
'17:43.047',-0.190
'17:43.050',-0.190
'17:43.053',-0.220
'17:43.056',-0.230
'17:43.058',-0.260
'17:43.061',-0.250
'17:43.064',-0.235
'17:43.067',-0.235
'17:43.069',-0.240
'17:43.072',-0.255
'17:43.075',-0.255
'17:43.078',-0.250
'17:43.081',-0.245
'17:43.083',-0.230
'17:43.086',-0.215
'17:43.089',-0.185
'17:43.092',-0.190
'17:43.094',-0.175
'17:43.097',-0.145
'17:43.100',-0.135
'17:43.103',-0.120
'17:43.106',-0.110
'17:43.108',-0.070
'17:43.111',-0.030
'17:43.114',0.020
'17:43.117',0.035
'17:43.119',0.015
'17:43.122',0.015
'17:43.125',0.015
'17:43.128',0.040
'17:43.131',0.080
'17:43.133',0.095
'17:43.136',0.095
'17:43.139',0.090
'17:43.142',0.090
'17:43.144',0.090
'17:43.147',0.105
'17:43.150',0.110
'17:43.153',0.095
'17:43.156',0.095
'17:43.158',0.105
'17:43.161',0.115
'17:43.164',0.130
'17:43.167',0.145
'17:43.169',0.150
'17:43.172',0.150
'17:43.175',0.130
'17:43.178',0.125
'17:43.181',0.125
'17:43.183',0.125
'17:43.186',0.115
'17:43.189',0.110
'17:43.192',0.120
'17:43.194',0.135
'17:43.197',0.165
'17:43.200',0.150
'17:43.203',0.120
'17:43.206',0.105
'17:43.208',0.100
'17:43.211',0.115
'17:43.214',0.140
'17:43.217',0.135
'17:43.219',0.130
'17:43.222',0.125
'17:43.225',0.120
'17:43.228',0.125
'17:43.231',0.135
'17:43.233',0.120
'17:43.236',0.115
'17:43.239',0.105
'17:43.242',0.100
'17:43.244',0.105
'17:43.247',0.120
'17:43.250',0.125
'17:43.253',0.115
'17:43.256',0.095
'17:43.258',0.090
'17:43.261',0.090
'17:43.264',0.125
'17:43.267',0.125
'17:43.269',0.120
'17:43.272',0.095
'17:43.275',0.080
'17:43.278',0.100
'17:43.281',0.120
'17:43.283',0.125
'17:43.286',0.120
'17:43.289',0.105
'17:43.292',0.100
'17:43.294',0.110
'17:43.297',0.135
'17:43.300',0.115
'17:43.303',0.095
'17:43.306',0.065
'17:43.308',0.055
'17:43.311',0.040
'17:43.314',0.060
'17:43.317',0.040
'17:43.319',0.030
'17:43.322',0.010
'17:43.325',0.000
'17:43.328',0.025
'17:43.331',0.040
'17:43.333',0.035
'17:43.336',0.040
'17:43.339',0.015
'17:43.342',0.025
'17:43.344',0.015
'17:43.347',0.035
'17:43.350',0.055
'17:43.353',0.045
'17:43.356',0.055
'17:43.358',0.050
'17:43.361',0.080
'17:43.364',0.100
'17:43.367',0.100
'17:43.369',0.095
'17:43.372',0.075
'17:43.375',0.075
'17:43.378',0.050
'17:43.381',0.055
'17:43.383',0.075
'17:43.386',0.070
'17:43.389',0.060
'17:43.392',0.065
'17:43.394',0.075
'17:43.397',0.100
'17:43.400',0.090
'17:43.403',0.080
'17:43.406',0.065
'17:43.408',0.065
'17:43.411',0.060
'17:43.414',0.065
'17:43.417',0.080
'17:43.419',0.075
'17:43.422',0.050
'17:43.425',0.040
'17:43.428',0.045
'17:43.431',0.055
'17:43.433',0.050
'17:43.436',0.050
'17:43.439',0.025
'17:43.442',0.020
'17:43.444',0.030
